,Temp_Change
,mean
datetime,
1980-02-01,0.2125471698113208
1980-03-01,-0.06935527243872336
1980-04-01,0.056010932816081827
1980-05-01,-0.14397169811320756
1980-06-01,0.059988802680303294
1980-07-01,-0.17231899135954856
1980-08-01,0.13175055888402037
1980-09-01,0.028682464454976297
1980-10-01,-0.067781990521327
1980-11-01,0.04280094786729857
1980-12-01,-0.2935557542698739
1981-01-01,0.06307234194759902
1981-02-01,0.23000153527801884
1981-03-01,0.47554929577464794
1981-04-01,-0.35938497652582163
1981-05-01,-0.21874520456069754
1981-06-01,0.09020457963089543
1981-07-01,-0.09057416267942585
1981-08-01,0.12040090172984912
1981-09-01,-0.012951140964298863
1981-10-01,-0.0613732057416268
1981-11-01,-0.12261796098638203
1981-12-01,0.23428180823915423
1982-01-01,0.00846445497630327
1982-02-01,-0.26222098849018277
1982-03-01,0.09061421736158579
1982-04-01,0.01811483253588518
1982-05-01,0.0020492799852067367
1982-06-01,0.14770262249827468
1982-07-01,0.040811126156623745
1982-08-01,-0.15549684044233802
1982-09-01,0.21559523809523812
1982-10-01,-0.2729772157666895
1982-11-01,-0.1277561175666439
1982-12-01,0.06167335164835165
1983-01-01,0.34052029914529913
1983-02-01,-0.3665126984126984
1983-03-01,0.46047797619047615
1983-04-01,0.036812500000000026
1983-05-01,0.03713875598086125
1983-06-01,-0.1658070252116305
1983-07-01,0.2841610921972765
1983-08-01,-0.3543827751196173
1983-09-01,0.09729471405787199
1983-10-01,-0.26975882889040786
1983-11-01,0.14141597174755072
1983-12-01,-0.11081428571428575
1984-01-01,-0.05160198797965786
1984-02-01,-0.08085236183719194
1984-03-01,0.026274038461538463
1984-04-01,0.18655104979561504
1984-05-01,-0.18490201133407658
1984-06-01,-0.11240384615384616
1984-07-01,0.12791972748815167
1984-08-01,0.0060663507109004755
1984-09-01,-0.09830331753554503
1984-10-01,0.2036208530805687
1984-11-01,0.015669600541638434
1984-12-01,-0.20178571428571426
1985-01-01,-0.2454661835748792
1985-02-01,-0.02058937198067634
1985-03-01,0.29191613247863246
1985-04-01,0.057193925446591326
1985-05-01,0.1957517177260255
1985-06-01,-0.21747047130342323
1985-07-01,0.10183254389065631
1985-08-01,0.15877132084364323
1985-09-01,-0.13715115198810854
1985-10-01,-0.060533653846153834
1985-11-01,-0.12929069285977182
1985-12-01,0.24922488038277513
1986-01-01,-0.12548520374611669
1986-02-01,-0.45344781060795025
1986-03-01,0.4032535885167464
1986-04-01,0.205719002050581
1986-05-01,0.09833809523809522
1986-06-01,-0.14600416666666666
1986-07-01,-0.12856730769230768
1986-08-01,0.1739048076923077
1986-09-01,-0.20625167464114835
1986-10-01,0.15133971291866027
1986-11-01,-0.2102404192298929
1986-12-01,-0.008175503663003663
1987-01-01,0.03251161667280088
1987-02-01,0.5652638869902028
1987-03-01,-0.6972095238095238
1987-04-01,0.6905135635296773
1987-05-01,-0.29719927781539157
1987-06-01,-0.012303091852854886
1987-07-01,0.37797750515884715
1987-08-01,-0.23650717703349283
1987-09-01,0.2998899981597351
1987-10-01,-0.3598230125138021
1987-11-01,0.20763244474823428
1987-12-01,0.21578284811554949
1988-01-01,0.12755524712254562
1988-02-01,-0.3365552471225456
1988-03-01,-0.23178761002031145
1988-04-01,0.1042335611756664
1988-05-01,0.2320426293005241
1988-06-01,-0.2755833671857369
1988-07-01,0.14651647590092104
1988-08-01,-0.08718472234641866
1988-09-01,-0.12257819905213274
1988-10-01,-0.06368447303091851
1988-11-01,-0.47786055066576394
1988-12-01,0.30991943127962085
1989-01-01,0.008772511848341227
1989-02-01,-0.012040916271721935
1989-03-01,0.2575571428571428
1989-04-01,-0.02598571428571428
1989-05-01,-0.013393071541412782
1989-06-01,-0.19721645226811102
1989-07-01,0.26944973045822096
1989-08-01,0.04620748010372888
1989-09-01,-0.15963171500487539
1989-10-01,-0.02669541313949203
1989-11-01,0.024236584249084203
1989-12-01,0.13065021645021646
1990-01-01,0.17674781468531475
1990-02-01,0.3533939345606999
1990-03-01,-0.2543491085533739
1990-04-01,-0.33958199767711966
1990-05-01,0.1637083574153277
1990-06-01,-0.06123696682464452
1990-07-01,-0.04926066350710906
1990-08-01,0.21864638290262012
1990-09-01,-0.30598518822349835
1990-10-01,0.36818150448585235
1990-11-01,0.038528640441683915
1990-12-01,-0.17048034434599457
1991-01-01,0.04134029330233402
1991-02-01,-0.3817435677530018
1991-03-01,0.613216883116883
1991-04-01,-0.5396522898154477
1991-05-01,-0.37223444976076553
1991-06-01,0.39437245386192754
1991-07-01,0.19419089635854342
1991-08-01,0.010250046908715671
1991-09-01,-0.03007903850535426
1991-10-01,-0.42115672877846794
1991-11-01,0.07238287346711259
1991-12-01,-0.1615872975708502
1992-01-01,0.4178332557056358
1992-02-01,-0.031100799565284887
1992-03-01,0.054767543859649104
1992-04-01,-0.05287375376767911
1992-05-01,-0.11309993044284722
1992-06-01,0.11769464409923491
1992-07-01,-0.28576823515652416
1992-08-01,0.38490707964601767
1992-09-01,-0.32582033069399163
1992-10-01,-0.2360351461988304
1992-11-01,0.3076740609636185
1992-12-01,0.08792829080519068
1993-01-01,0.04592840846510898
1993-02-01,-0.2751797665971095
1993-03-01,0.03528274826652971
1993-04-01,0.29400934560895275
1993-05-01,0.14085398230088492
1993-06-01,-0.17022207230445657
1993-07-01,-0.15549079115951311
1993-08-01,0.08775621460037761
1993-09-01,-0.28303223958436224
1993-10-01,0.2723802572055076
1993-11-01,-0.6133095893643801
1993-12-01,1.0073895592020592
1994-01-01,0.33505381381381394
